3.79,1,0,0.740,-0.100,0.000
4.10,1,1,0.692,-0.200,0.000
4.41,1,2,0.960,0.000,0.000
4.71,1,3,0.828,0.000,0.000
5.02,1,4,0.680,-0.100,0.000
5.33,2,0,0.448,-0.100,0.000
5.63,2,1,0.600,0.000,0.000
5.94,2,2,0.724,-0.100,0.000
6.25,2,3,0.872,-0.100,0.000
7.55,1,0,0.740,-0.100,0.000
7.86,1,1,0.692,-0.200,0.000
8.17,1,2,0.932,0.000,0.000
8.47,1,3,0.804,0.000,0.000
8.78,1,4,0.680,-0.100,0.000
9.09,2,0,0.576,-0.100,0.000
9.40,2,1,0.588,0.000,0.000
9.70,2,2,0.708,-0.100,0.000
10.01,2,3,0.868,0.000,0.000
11.31,1,0,0.760,-0.100,0.000
11.62,1,1,0.692,-0.200,0.000
11.92,1,2,0.968,-0.100,0.000
12.23,1,3,0.832,0.000,0.000
12.54,1,4,0.672,-0.100,0.000
12.84,2,0,0.584,-0.100,0.000
13.15,2,1,0.620,-0.100,0.000
13.45,2,2,0.704,-0.100,0.000
13.76,2,3,0.812,-0.100,0.000
15.06,1,0,0.752,-0.100,0.000
15.37,1,1,0.692,-0.200,0.000
15.67,1,2,0.972,0.000,0.000
15.98,1,3,0.792,0.000,0.000
16.28,1,4,0.720,-0.100,0.000
16.59,2,0,0.584,-0.100,0.000
16.89,2,1,0.616,-0.100,0.000
17.20,2,2,0.704,-0.100,0.000
17.50,2,3,0.836,-0.100,0.000
18.81,1,0,0.740,-0.100,0.000
19.11,1,1,0.700,-0.200,0.000
19.42,1,2,0.960,-0.100,0.000
19.72,1,3,0.784,0.000,0.000
20.02,1,4,0.720,-0.100,0.000
20.33,2,0,0.572,0.000,0.000
20.64,2,1,0.600,-0.100,0.000
20.94,2,2,0.724,-0.100,0.000
21.25,2,3,0.856,-0.100,0.000
22.56,1,0,0.760,-0.100,0.000
22.86,1,1,0.696,-0.200,0.000
23.17,1,2,0.932,0.000,0.000
23.48,1,3,0.784,0.000,0.000
23.78,1,4,0.684,-0.100,0.000
24.09,2,0,0.580,0.000,0.000
24.39,2,1,0.612,0.000,0.000
24.70,2,2,0.728,-0.100,0.000
25.01,2,3,0.872,-0.100,0.000
26.32,1,0,0.740,-0.200,0.000
26.62,1,1,0.692,-0.200,0.000
26.93,1,2,0.940,-0.100,0.000
27.24,1,3,0.772,-0.100,0.000
27.55,1,4,0.684,-0.100,0.000
27.85,2,0,0.608,-0.100,0.000
28.16,2,1,0.620,-0.100,0.000
28.47,2,2,0.712,-0.200,0.000
28.77,2,3,0.796,0.000,0.000
30.08,1,0,0.724,-0.100,0.000
30.39,1,1,0.672,-0.200,0.000
30.69,1,2,0.872,0.000,0.000
31.00,1,3,0.716,-0.100,0.000
31.31,1,4,0.680,0.000,0.000
31.61,2,0,0.612,0.000,0.000
31.92,2,1,0.588,-0.100,0.000
32.22,2,2,0.716,-0.100,0.000
32.53,2,3,0.784,-0.100,0.000
33.83,1,0,0.736,-0.100,0.000
34.14,1,1,0.696,-0.200,0.000
34.44,1,2,0.864,0.000,0.000
34.75,1,3,0.700,-0.100,0.000
35.06,1,4,0.676,-0.100,0.000
35.36,2,0,0.596,-0.100,0.000
35.67,2,1,0.620,-0.100,0.000
35.98,2,2,0.716,-0.100,0.000
36.29,2,3,0.828,-0.100,0.000
37.59,1,0,0.728,-0.100,0.000
37.90,1,1,0.676,-0.100,0.000
38.21,1,2,0.856,0.000,0.000
38.51,1,3,0.704,-0.100,0.000
38.82,1,4,0.708,-0.200,0.000
39.13,2,0,0.584,0.000,0.000
39.44,2,1,0.588,0.000,0.000
39.74,2,2,0.704,-0.100,0.000
40.05,2,3,0.804,-0.100,0.000
41.36,1,0,0.740,-0.100,0.000
41.66,1,1,0.700,-0.200,0.000
41.97,1,2,0.880,0.000,0.000
42.28,1,3,0.700,-0.100,0.000
42.59,1,4,0.672,-0.100,0.000
42.89,2,0,0.596,-0.100,0.000
43.20,2,1,0.612,0.000,0.000
43.51,2,2,0.712,-0.100,0.000
43.81,2,3,0.780,-0.100,0.000
45.12,1,0,0.728,-0.100,0.000
45.43,1,1,0.680,-0.200,0.000
45.73,1,2,0.876,0.000,0.000
46.04,1,3,0.728,-0.100,0.000
46.35,1,4,0.672,-0.100,0.000
46.65,2,0,0.584,-0.100,0.000
46.96,2,1,0.604,-0.100,0.000
47.27,2,2,0.724,-0.200,0.000
47.57,2,3,0.828,0.000,0.000
48.88,1,0,0.724,-0.200,0.000
49.19,1,1,0.676,-0.200,0.000
49.49,1,2,0.872,-0.100,0.000
49.80,1,3,0.708,0.000,0.000
50.10,1,4,0.676,-0.100,0.000
50.41,2,0,0.592,0.000,0.000
50.72,2,1,0.616,-0.100,0.000
51.03,2,2,0.724,-0.100,0.000
51.33,2,3,0.776,-0.100,0.000
52.64,1,0,0.724,-0.100,0.000
52.95,1,1,0.676,-0.200,0.000
53.26,1,2,0.856,-0.100,0.000
53.56,1,3,0.708,-0.100,0.000
53.87,1,4,0.716,-0.100,0.000
54.18,2,0,0.596,0.000,0.000
54.48,2,1,0.588,0.000,0.000
