3.79,1,0,0.696,-0.100,0.000
4.10,1,1,0.620,-0.100,0.000
4.41,1,2,0.764,0.000,0.000
4.72,1,3,0.616,-0.100,0.000
5.02,1,4,0.652,-0.100,0.000
5.33,2,0,0.580,-0.100,0.000
5.64,2,1,0.572,-0.100,0.000
5.95,2,2,0.708,-0.200,0.000
6.25,2,3,0.864,-0.100,0.000
7.56,1,0,0.680,-0.100,0.000
7.86,1,1,0.620,-0.100,0.000
8.17,1,2,0.744,0.000,0.000
8.48,1,3,0.608,-0.100,0.000
8.78,1,4,0.660,-0.100,0.000
9.09,2,0,0.572,0.000,0.000
9.40,2,1,0.572,-0.100,0.000
9.70,2,2,0.700,-0.100,0.000
10.01,2,3,0.788,0.000,0.000
11.31,1,0,0.676,-0.200,0.000
11.62,1,1,0.616,-0.100,0.000
11.93,1,2,0.740,0.000,0.000
12.23,1,3,0.620,-0.100,0.000
12.54,1,4,0.676,0.000,0.000
12.85,2,0,0.572,0.000,0.000
13.15,2,1,0.572,-0.100,0.000
13.46,2,2,0.708,-0.100,0.000
13.77,2,3,0.856,0.000,0.000
15.07,1,0,0.676,-0.200,0.000
15.38,1,1,0.616,-0.100,0.000
15.69,1,2,0.732,0.000,0.000
15.99,1,3,0.620,-0.100,0.000
16.30,1,4,0.656,-0.100,0.000
16.60,2,0,0.572,0.000,0.000
16.91,2,1,0.572,0.000,0.000
17.22,2,2,0.696,-0.100,0.000
17.52,2,3,0.852,-0.100,0.000
18.83,1,0,0.700,-0.100,0.000
19.14,1,1,0.628,-0.200,0.000
19.45,1,2,0.688,0.000,0.000
19.75,1,3,0.596,0.000,0.000
20.06,1,4,0.616,-0.100,0.000
20.37,2,0,0.588,0.000,0.000
20.67,2,1,0.556,-0.100,0.000
20.98,2,2,0.684,-0.100,0.000
21.29,2,3,0.796,-0.100,0.000
22.59,1,0,0.688,-0.200,0.000
22.90,1,1,0.628,-0.100,0.000
23.21,1,2,0.748,0.000,0.000
23.52,1,3,0.624,-0.100,0.000
23.82,1,4,0.644,-0.100,0.000
24.13,2,0,0.588,0.000,0.000
24.44,2,1,0.548,-0.100,0.000
24.74,2,2,0.688,-0.100,0.000
25.05,2,3,0.820,-0.100,0.000
26.36,1,0,0.696,-0.200,0.000
26.66,1,1,0.648,-0.100,0.000
26.97,1,2,0.780,0.000,0.000
27.28,1,3,0.628,-0.100,0.000
27.58,1,4,0.640,-0.100,0.000
27.89,2,0,0.580,-0.100,0.000
28.20,2,1,0.568,-0.100,0.000
28.51,2,2,0.712,-0.100,0.000
28.81,2,3,0.852,0.000,0.000
30.12,1,0,0.688,-0.200,0.000
30.43,1,1,0.624,-0.100,0.000
30.74,1,2,0.752,0.000,0.000
31.04,1,3,0.632,-0.100,0.000
31.35,1,4,0.660,0.000,0.000
31.66,2,0,0.600,0.000,0.000
31.96,2,1,0.560,-0.100,0.000
32.27,2,2,0.696,-0.100,0.000
32.57,2,3,0.844,0.000,0.000
33.88,1,0,0.708,-0.200,0.000
34.19,1,1,0.636,-0.200,0.000
34.49,1,2,0.760,-0.100,0.000
34.80,1,3,0.624,-0.100,0.000
35.11,1,4,0.644,-0.100,0.000
35.42,2,0,0.592,-0.100,0.000
35.72,2,1,0.584,0.000,0.000
36.03,2,2,0.688,-0.100,0.000
36.34,2,3,0.796,-0.100,0.000
37.65,1,0,0.684,-0.200,0.000
37.95,1,1,0.628,-0.100,0.000
38.26,1,2,0.756,0.000,0.000
38.57,1,3,0.624,-0.100,0.000
38.88,1,4,0.644,0.000,0.000
39.18,2,0,0.596,0.000,0.000
39.49,2,1,0.580,-0.100,0.000
39.80,2,2,0.692,-0.100,0.000
40.10,2,3,0.796,-0.100,0.000
41.41,1,0,0.684,-0.100,0.000
41.72,1,1,0.624,-0.100,0.000
42.03,1,2,0.752,0.000,0.000
42.33,1,3,0.636,-0.100,0.000
42.64,1,4,0.668,-0.100,0.000
42.95,2,0,0.600,0.000,0.000
43.25,2,1,0.564,-0.100,0.000
43.56,2,2,0.688,-0.100,0.000
43.87,2,3,0.796,0.000,0.000
45.17,1,0,0.688,-0.100,0.000
45.48,1,1,0.644,-0.200,0.000
45.79,1,2,0.780,0.000,0.000
46.09,1,3,0.628,-0.100,0.000
46.40,1,4,0.640,-0.100,0.000
46.70,2,0,0.600,-0.100,0.000
47.01,2,1,0.584,-0.100,0.000
47.32,2,2,0.700,-0.100,0.000
47.63,2,3,0.840,-0.100,0.000
48.93,1,0,0.684,-0.100,0.000
49.24,1,1,0.624,-0.100,0.000
49.55,1,2,0.752,0.000,0.000
49.85,1,3,0.624,-0.100,0.000
50.16,1,4,0.652,-0.100,0.000
50.47,2,0,0.596,-0.100,0.000
50.78,2,1,0.580,0.000,0.000
51.08,2,2,0.688,-0.100,0.000
51.39,2,3,0.796,0.000,0.000
52.70,1,0,0.688,-0.100,0.000
53.01,1,1,0.624,-0.100,0.000
53.31,1,2,0.752,-0.100,0.000
53.62,1,3,0.624,-0.100,0.000
53.93,1,4,0.664,-0.100,0.000
54.23,2,0,0.596,-0.100,0.000
54.54,2,1,0.568,-0.100,0.000
54.85,2,2,0.688,-0.100,0.000
55.16,2,3,0.792,-0.100,0.000
56.46,1,0,0.688,-0.100,0.000
56.77,1,1,0.628,-0.100,0.000
57.08,1,2,0.780,0.000,0.000
57.38,1,3,0.624,-0.100,0.000
57.69,1,4,0.636,-0.100,0.000
57.99,2,0,0.580,-0.100,0.000
58.30,2,1,0.576,-0.100,0.000
58.61,2,2,0.700,-0.100,0.000
58.92,2,3,0.800,-0.100,0.000
60.22,1,0,0.696,-0.200,0.000
60.53,1,1,0.624,-0.200,0.000
60.84,1,2,0.764,0.000,0.000
61.14,1,3,0.628,-0.100,0.000
61.45,1,4,0.660,-0.100,0.000
61.76,2,0,0.596,0.000,0.000
62.06,2,1,0.560,-0.100,0.000
62.37,2,2,0.684,-0.100,0.000
62.68,2,3,0.800,-0.100,0.000
63.98,1,0,0.688,-0.200,0.000
64.29,1,1,0.628,-0.200,0.000
64.60,1,2,0.784,0.000,0.000
64.91,1,3,0.636,-0.100,0.000
65.21,1,4,0.672,0.000,0.000
65.52,2,0,0.584,0.000,0.000
65.83,2,1,0.572,-0.100,0.000
66.14,2,2,0.668,-0.100,0.000
66.44,2,3,0.800,-0.100,0.000
67.75,1,0,0.688,-0.200,0.000
68.06,1,1,0.644,-0.200,0.000
68.36,1,2,0.792,-0.100,0.000
68.67,1,3,0.648,-0.100,0.000
68.98,1,4,0.648,-0.100,0.000
69.29,2,0,0.552,0.000,0.000
69.59,2,1,0.552,-0.100,0.000
69.90,2,2,0.708,-0.100,0.000
70.20,2,3,0.824,0.000,0.000
71.51,1,0,0.692,-0.200,0.000
71.82,1,1,0.620,-0.100,0.000
72.12,1,2,0.700,0.000,0.000
72.43,1,3,0.608,-0.100,0.000
72.74,1,4,0.648,-0.100,0.000
73.04,2,0,0.548,-0.100,0.000
73.35,2,1,0.552,0.000,0.000
73.66,2,2,0.684,-0.100,0.000
73.96,2,3,0.780,0.000,0.000
75.27,1,0,0.696,-0.100,0.000
75.58,1,1,0.644,-0.100,0.000
75.88,1,2,0.816,0.000,0.000
76.19,1,3,0.628,-0.100,0.000
76.50,1,4,0.660,-0.100,0.000
76.80,2,0,0.568,0.000,0.000
77.11,2,1,0.584,0.000,0.000
77.42,2,2,0.712,-0.100,0.000
77.73,2,3,0.868,0.000,0.000
79.03,1,0,0.696,-0.100,0.000
79.34,1,1,0.620,-0.200,0.000
79.65,1,2,0.744,0.000,0.000
79.95,1,3,0.612,-0.100,0.000
80.26,1,4,0.640,-0.100,0.000
80.57,2,0,0.572,0.000,0.000
80.87,2,1,0.584,-0.100,0.000
81.18,2,2,0.708,-0.100,0.000
81.49,2,3,0.776,-0.100,0.000
82.79,1,0,0.684,-0.100,0.000
83.10,1,1,0.624,-0.100,0.000
83.41,1,2,0.792,0.000,0.000
83.72,1,3,0.632,-0.100,0.000
84.02,1,4,0.664,-0.100,0.000
84.33,2,0,0.508,0.000,0.000
84.64,2,1,0.576,-0.100,0.000
84.94,2,2,0.692,-0.100,0.000
85.25,2,3,0.820,-0.100,0.000
86.56,1,0,0.700,-0.200,0.000
86.86,1,1,0.624,-0.100,0.000
87.17,1,2,0.792,0.000,0.000
87.48,1,3,0.620,-0.100,0.000
87.79,1,4,0.656,-0.100,0.000
88.09,2,0,0.580,0.000,0.000
88.40,2,1,0.600,-0.100,0.000
88.71,2,2,0.708,-0.100,0.000
89.01,2,3,0.800,0.000,0.000
90.32,1,0,0.684,-0.100,0.000
90.63,1,1,0.620,-0.100,0.000
90.93,1,2,0.784,0.000,0.000
91.24,1,3,0.636,-0.100,0.000
91.55,1,4,0.672,0.000,0.000
91.86,2,0,0.592,0.000,0.000
92.16,2,1,0.576,-0.100,0.000
92.47,2,2,0.696,0.000,0.000
92.78,2,3,0.828,-0.100,0.000
94.08,1,0,0.696,-0.100,0.000
94.39,1,1,0.632,-0.200,0.000
94.70,1,2,0.788,0.000,0.000
95.00,1,3,0.624,0.000,0.000
95.31,1,4,0.680,-0.100,0.000
95.61,2,0,0.580,0.000,0.000
95.92,2,1,0.576,-0.100,0.000
96.23,2,2,0.688,-0.200,0.000
96.54,2,3,0.800,0.000,0.000
97.84,1,0,0.700,-0.100,0.000
