22.31,1,0,0.992,0.000,0.000
22.61,1,1,1.048,0.000,0.000
22.92,1,2,0.648,0.000,0.000
23.23,1,3,0.360,-0.100,0.000
23.54,1,4,0.944,-0.100,0.000
23.85,2,0,0.928,-0.100,0.000
24.15,2,1,0.924,-0.100,0.000
24.46,2,2,0.896,-0.100,0.000
24.77,2,3,0.864,-0.100,0.000
26.08,1,0,0.988,-0.200,0.000
26.38,1,1,1.108,0.000,0.000
26.69,1,2,0.620,0.000,0.000
26.99,1,3,0.428,0.000,0.000
27.30,1,4,0.976,-0.100,0.000
27.60,2,0,0.928,0.000,0.000
27.91,2,1,1.012,0.000,0.000
28.22,2,2,0.996,-0.100,0.000
28.52,2,3,0.872,0.000,0.000
29.83,1,0,0.916,-0.100,0.000
30.14,1,1,1.044,0.000,0.000
30.44,1,2,0.696,0.000,0.000
30.75,1,3,0.404,-0.100,0.000
31.06,1,4,1.004,-0.100,0.000
31.36,2,0,0.988,0.000,0.000
31.67,2,1,0.936,-0.100,0.000
31.98,2,2,0.972,-0.100,0.000
32.28,2,3,0.976,-0.100,0.000
33.59,1,0,0.972,-0.100,0.000
33.90,1,1,1.056,0.000,0.000
34.20,1,2,0.664,-0.100,0.000
34.51,1,3,0.368,-0.100,0.000
34.82,1,4,0.984,-0.100,0.000
35.12,2,0,1.032,-0.100,0.000
35.43,2,1,0.908,-0.100,0.000
35.74,2,2,0.936,-0.100,0.000
36.04,2,3,0.860,0.000,0.000
37.35,1,0,0.964,-0.100,0.000
37.65,1,1,1.044,0.000,0.000
37.96,1,2,0.696,0.000,0.000
38.26,1,3,0.400,-0.100,0.000
38.57,1,4,0.940,-0.200,0.000
38.88,2,0,1.004,-0.100,0.000
39.18,2,1,0.988,-0.100,0.000
39.49,2,2,0.956,0.000,0.000
39.79,2,3,0.904,-0.100,0.000
41.10,1,0,0.972,-0.100,0.000
41.40,1,1,1.068,0.000,0.000
41.71,1,2,0.624,0.000,0.000
42.02,1,3,0.384,-0.100,0.000
42.33,1,4,0.976,-0.100,0.000
42.63,2,0,0.980,-0.100,0.000
42.94,2,1,1.012,-0.100,0.000
